Number,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016
413,MAZDA,MAZDA MX-5,57_15,175,3988,4060,4408,3972
414,MAZDA,MAZDA PREMACY,57_17,0,0,0,0,0
415,MAZDA,MAZDA RX8,57_18,0,0,0,0,0
416,MAZDA,MAZDA TRIBUTE,57_19,0,0,0,0,0
417,MCLAREN,MCLAREN 540C,58_2,1,7,9,43,17
418,MCLAREN,MCLAREN 570GT,58_3,6,52,51,84,7
419,MCLAREN,MCLAREN 570S,58_4,21,120,195,149,85
420,MCLAREN,MCLAREN 600LT,58_9,116,153,15,0,0
421,MCLAREN,MCLAREN 650S,58_5,0,1,0,0,28
422,MCLAREN,MCLAREN 675LT,58_6,0,0,0,12,40
423,MCLAREN,MCLAREN 720S,58_7,80,145,194,92,0
424,MCLAREN,MCLAREN P1,58_8,0,0,0,0,0
425,MERCEDES,MERCEDES 200,59_1,0,0,1,0,0
426,MERCEDES,MERCEDES 500,59_7,0,1,0,0,0
427,MERCEDES,MERCEDES A CLASS,59_8,34775,47026,40848,39355,37366
428,MERCEDES,MERCEDES AMG CLASS,59_9,5205,9067,4122,3138,1605
429,MERCEDES,MERCEDES B CLASS,59_11,2720,3975,3821,5540,5293
430,MERCEDES,MERCEDES C CLASS,59_12,9676,21683,28412,39648,37729
431,MERCEDES,MERCEDES CITAN,59_13,37,6,3,4,1
432,MERCEDES,MERCEDES CL CLASS,59_15,0,0,0,0,0
433,MERCEDES,MERCEDES CLA CLASS,59_16,7782,8497,8408,8032,7755
434,MERCEDES,MERCEDES CLC CLASS,59_17,0,0,0,0,0
435,MERCEDES,MERCEDES CLK CLASS,59_18,0,0,0,0,0
436,MERCEDES,MERCEDES CLS CLASS,59_19,349,1021,988,1437,2112
437,MERCEDES,MERCEDES E CLASS,59_20,9725,18372,20137,20884,20580
438,MERCEDES,MERCEDES G CLASS,59_21,167,139,62,96,80
439,MERCEDES,MERCEDES GL CLASS,59_22,1,1,0,3,214
440,MERCEDES,MERCEDES GLA CLASS,59_23,9386,17092,16435,12308,10312
441,MERCEDES,MERCEDES GLC CLASS,59_24,11711,17627,19632,12766,9509
442,MERCEDES,MERCEDES GLE CLASS,59_25,5327,3527,5810,4168,5366
443,MERCEDES,MERCEDES GLS CLASS,59_26,433,395,624,679,426
444,MERCEDES,MERCEDES ML CLASS,59_27,0,0,0,0,7
445,MERCEDES,MERCEDES R CLASS,59_28,0,0,0,0,0
446,MERCEDES,MERCEDES S CLASS,59_29,563,1807,1951,2114,1988
447,MERCEDES,MERCEDES SL CLASS,59_30,212,328,352,537,662
448,MERCEDES,MERCEDES SLC CLASS,59_31,544,898,1356,3077,2054
449,MERCEDES,MERCEDES SLK CLASS,59_32,0,0,0,1,1193
450,MERCEDES,MERCEDES SPRINTER,59_35,219,186,158,176,168
451,MERCEDES,MERCEDES V CLASS,59_36,810,1980,1859,1849,1346
452,MERCEDES,MERCEDES VANEO,59_37,0,0,0,0,0
453,MERCEDES,MERCEDES VIANO,59_38,0,0,0,0,1
454,MERCEDES,MERCEDES VITO,59_39,729,2114,1432,1238,990
455,MERCEDES,MERCEDES X CLASS,59_40,2,4,0,0,0
456,MG,MG 3,53_2,2236,3260,2566,2853,3059
457,MG,MG 6,53_3,0,0,0,0,348
458,MG,MG GS,53_1,0,351,932,923,561
459,MG,MG MG6,53_3,0,0,0,0,0
460,MG,MG MGF,53_4,0,0,0,0,0
461,MG,MG TF,53_5,0,0,0,0,0
462,MG,MG XS,53_10,3923,7252,5149,353,0
463,MG,MG ZR,53_6,0,0,0,0,0
464,MG,MG ZS,53_7,8158,1075,0,0,0
465,MG,MG ZT,53_8,0,0,0,0,0
466,MICROCAR,MICROCAR M-GO,61_1,0,0,35,49,91
467,MINI,MINI CLUBMAN,54_1,3432,5746,6930,7302,8451
468,MINI,MINI COOPER,54_6,26817,36432,38958,35837,35204
469,MINI,MINI COUNTRYMAN,54_4,9758,16288,13653,10329,7969
470,MINI,MINI FIRST,54_6,0,0,0,0,0
471,MINI,MINI JOHN COOPER WORKS,54_9,3083,2595,2622,2535,2192
472,MINI,MINI ONE,54_6,1155,1598,1627,5801,9514
473,MINI,MINI PACEMAN,54_7,0,0,0,118,1279
474,MINI,MINI ROADSTER,54_8,0,0,0,0,1
475,MITSUBISHI,MITSUBISHI ASX,62_1,1425,1477,2251,3860,3263
476,MITSUBISHI,MITSUBISHI CARISMA,62_2,0,0,0,0,0
477,MITSUBISHI,MITSUBISHI COLT,62_3,0,0,0,0,0
478,MITSUBISHI,MITSUBISHI DELICA,62_6,0,0,0,0,0
479,MITSUBISHI,MITSUBISHI ECLIPSE,62_7,1195,3929,5496,101,0
480,MITSUBISHI,MITSUBISHI FTO,62_8,0,0,0,0,0
481,MITSUBISHI,MITSUBISHI GALANT,62_9,0,0,0,0,0
482,MITSUBISHI,MITSUBISHI GRANDIS,62_10,0,0,0,0,0
483,MITSUBISHI,MITSUBISHI L200,62_13,1,0,0,0,0
484,MITSUBISHI,MITSUBISHI LANCER,62_14,0,0,0,0,0
485,MITSUBISHI,MITSUBISHI MIRAGE,62_15,701,1114,1069,1250,1381
486,MITSUBISHI,MITSUBISHI OUTLANDER,62_16,4407,8195,10457,8198,10295
487,MITSUBISHI,MITSUBISHI PAJERO,62_17,0,0,0,0,0
488,MITSUBISHI,MITSUBISHI SHOGUN,62_18,566,651,969,955,1392
489,MITSUBISHI,MITSUBISHI SPACE STAR,62_21,0,0,0,0,1
490,MITSUBISHI,MITSUBISHI SPACE WAGON,62_22,0,0,0,0,0
491,MORGAN,MORGAN AERO,63_2,0,0,0,0,2
492,MORGAN,MORGAN PLUS 4,63_3,101,84,60,54,102
493,MORGAN,MORGAN PLUS 8,63_4,0,1,9,5,7
494,MORGAN,MORGAN ROADSTER,63_5,10,25,28,29,31
495,NISSAN,NISSAN 350,64_1,0,0,0,0,0
496,NISSAN,NISSAN 370,64_2,87,104,139,155,185
497,NISSAN,NISSAN ALMERA,64_3,0,0,0,0,0
498,NISSAN,NISSAN CUBE,64_5,0,0,0,0,1
499,NISSAN,NISSAN E-NV200,64_7,265,213,58,111,98
500,NISSAN,NISSAN FAIRLADY,64_10,0,0,0,0,0
501,NISSAN,NISSAN GT,64_13,0,0,1,0,0
502,NISSAN,NISSAN GT-R,64_13,94,130,148,234,145
503,NISSAN,NISSAN JUKE,64_14,17697,18506,23275,35455,36790
504,NISSAN,NISSAN LEAF,64_16,8098,5040,4885,4613,3966
505,NISSAN,NISSAN MICRA,64_17,6266,8433,9599,12179,10781
506,NISSAN,NISSAN MURANO,64_19,0,0,1,0,1
507,NISSAN,NISSAN NAVARA,64_20,0,1,0,0,0
508,NISSAN,NISSAN NOTE,64_21,0,0,0,5109,10861
509,NISSAN,NISSAN NV200,64_22,0,0,37,100,258
510,NISSAN,NISSAN NV300,64_23,8,8,7,102,0
511,NISSAN,NISSAN PATHFINDER,64_24,0,0,0,0,0
512,NISSAN,NISSAN PATROL,64_25,0,0,0,0,0
513,NISSAN,NISSAN PIXO,64_28,0,0,0,0,0
514,NISSAN,NISSAN PRIMASTAR,64_30,0,0,0,0,0
515,NISSAN,NISSAN PRIMERA,64_31,0,0,0,0,0
516,NISSAN,NISSAN PULSAR,64_32,0,0,1971,4080,6287
517,NISSAN,NISSAN QASHQAI,64_33,32264,49307,47376,57548,58132
518,NISSAN,NISSAN SERENA,64_35,0,1,0,0,0
519,NISSAN,NISSAN SKYLINE,64_36,0,0,0,0,0
520,NISSAN,NISSAN STAGEA,64_37,0,0,0,0,0
521,NISSAN,NISSAN TERRANO,64_38,0,0,0,0,0
522,NISSAN,NISSAN X-TRAIL,64_41,4508,5587,8884,16721,14851
523,NOBLE,NOBLE M600,65_2,0,0,1,0,1
524,OPEL,OPEL ASTRA,66_1,0,0,0,1,0
525,OPEL,OPEL INSIGNIA,66_2,0,0,0,0,0
526,OPEL,OPEL ZAFIRA,66_3,0,0,0,0,0
527,PERODUA,PERODUA KELISA,68_1,0,0,0,0,0
528,PERODUA,PERODUA KENARI,68_3,0,0,0,0,0
529,PERODUA,PERODUA MYVI,68_2,0,0,0,1,0
530,PEUGEOT,PEUGEOT 1007,69_1,0,0,0,0,0
531,PEUGEOT,PEUGEOT 106,69_2,0,0,0,0,0
532,PEUGEOT,PEUGEOT 107,69_3,0,0,0,0,0
533,PEUGEOT,PEUGEOT 108,69_4,4663,5106,8072,11504,17127
534,PEUGEOT,PEUGEOT 2008,69_5,11694,11904,12383,16154,18517
535,PEUGEOT,PEUGEOT 206,69_6,3,2,0,0,0
536,PEUGEOT,PEUGEOT 207,69_9,0,0,0,0,0
537,PEUGEOT,PEUGEOT 208,69_12,13103,19851,18310,16970,26342
538,PEUGEOT,PEUGEOT 3008,69_13,11837,19082,18881,15897,6715
539,PEUGEOT,PEUGEOT 306,69_14,1,0,0,0,0
540,PEUGEOT,PEUGEOT 307,69_15,0,0,0,0,0
541,PEUGEOT,PEUGEOT 308,69_18,4090,6772,8857,9543,15339
542,PEUGEOT,PEUGEOT 4007,69_21,0,0,0,0,0
543,PEUGEOT,PEUGEOT 406,69_22,0,2,0,0,0
544,PEUGEOT,PEUGEOT 407,69_23,0,0,0,0,0
545,PEUGEOT,PEUGEOT 5008,69_25,4864,5619,5264,734,1729
546,PEUGEOT,PEUGEOT 508,69_26,1635,1952,401,487,977
547,PEUGEOT,PEUGEOT 607,69_28,0,0,2,0,0
548,PEUGEOT,PEUGEOT 806,69_38,0,0,0,0,0
549,PEUGEOT,PEUGEOT 807,69_29,0,0,0,0,0
550,PEUGEOT,PEUGEOT BIPPER,69_30,0,0,0,0,0
551,PEUGEOT,PEUGEOT BOXER,69_41,191,220,106,224,197
552,PEUGEOT,PEUGEOT EXPERT,69_31,8,54,34,49,104
553,PEUGEOT,PEUGEOT HORIZON,69_34,171,450,1420,1347,1305
554,PEUGEOT,PEUGEOT INDEPENDENCE,69_43,0,0,0,9,441
555,PEUGEOT,PEUGEOT ION,69_33,0,0,3,11,35
556,PEUGEOT,PEUGEOT PARTNER,69_34,0,35,1123,1144,1777
557,PEUGEOT,PEUGEOT RCZ,69_36,0,0,0,0,258
558,PEUGEOT,PEUGEOT RIFTER,69_42,2497,3049,469,0,0
559,PEUGEOT,PEUGEOT TRAVELLER,69_37,387,695,592,497,40
560,PORSCHE,PORSCHE 718 BOXSTER,71_2,297,696,762,958,722
561,PORSCHE,PORSCHE 718 CAYMAN,71_3,651,910,883,924,262
562,PORSCHE,PORSCHE 911,71_4,1915,2459,1982,1775,1587
563,PORSCHE,PORSCHE 918,71_5,0,0,0,0,0
564,PORSCHE,PORSCHE BOXSTER,71_6,157,189,229,0,445
565,PORSCHE,PORSCHE CAYENNE,71_8,2868,3409,1869,1782,2843
566,PORSCHE,PORSCHE CAYMAN,71_9,201,257,405,0,641
567,PORSCHE,PORSCHE MACAN,71_10,3780,4764,3880,5341,4143
568,PORSCHE,PORSCHE PANAMERA,71_11,495,822,779,953,339
569,PROTON,PROTON GEN 2,72_1,0,0,0,0,0
570,PROTON,PROTON IMPIAN,72_2,0,0,0,0,0
571,PROTON,PROTON PERSONA,72_4,0,0,0,0,0
572,PROTON,PROTON SATRIA,72_5,0,0,0,0,0
573,PROTON,PROTON SAVVY,72_6,0,0,0,0,0
574,PROTON,PROTON WIRA,72_7,0,0,0,0,0
575,RENAULT,RENAULT CAPTUR,75_1,12853,19247,20864,18742,24286
576,RENAULT,RENAULT CLIO,75_2,10568,16083,19682,18500,22571
577,RENAULT,RENAULT ESPACE,75_3,0,0,0,0,1
578,RENAULT,RENAULT FLUENCE,75_4,0,0,0,0,0
579,RENAULT,RENAULT GRAND SCENIC,75_7,262,851,657,1072,1262
580,RENAULT,RENAULT KADJAR,75_8,8029,10811,10995,13903,19252
581,RENAULT,RENAULT KANGOO,75_9,1,0,0,0,0
582,RENAULT,RENAULT KOLEOS,75_10,488,946,928,672,0
583,RENAULT,RENAULT LAGUNA,75_11,0,0,0,0,0
584,RENAULT,RENAULT MASTER,75_23,208,218,258,304,282
585,RENAULT,RENAULT MEGANE,75_12,1100,2525,2111,5225,5287
586,RENAULT,RENAULT MODUS,75_13,0,0,0,0,0
587,RENAULT,RENAULT SCENIC,75_14,8,287,569,1061,1105
588,RENAULT,RENAULT TRAFIC,75_17,794,626,708,975,1034
589,RENAULT,RENAULT TWINGO,75_18,0,226,807,1413,3005
590,RENAULT,RENAULT TWIZY,75_19,1,0,20,13,38
591,RENAULT,RENAULT VEL SATIS,75_20,0,0,0,0,0
592,RENAULT,RENAULT WIND ROADSTER,75_21,0,0,0,0,0
593,RENAULT,RENAULT ZOE,75_22,6279,2231,1737,963,1527
594,Reva,Reva G-WIZ,76_1,0,0,0,0,0
595,ROLLS ROYCE,ROLLS ROYCE CORNICHE,77_1,0,0,0,0,0
596,ROLLS ROYCE,ROLLS ROYCE DAWN,77_2,50,63,98,109,108
597,ROLLS ROYCE,ROLLS ROYCE GHOST,77_3,64,39,51,64,60
598,ROLLS ROYCE,ROLLS ROYCE PHANTOM,77_4,29,45,62,7,37
599,ROLLS ROYCE,ROLLS ROYCE SILVER SERAPH,77_5,0,0,0,0,0
600,ROLLS ROYCE,ROLLS ROYCE WRAITH,77_6,31,50,74,78,87
601,ROVER,ROVER 25,78_1,0,0,0,0,0
602,ROVER,ROVER 45,78_2,0,0,0,0,0
603,ROVER,ROVER 75,78_3,0,0,0,0,0
604,ROVER,ROVER CITYROVER,78_5,0,0,0,0,0
605,ROVER,ROVER MINI,78_6,0,0,0,0,0
606,ROVER,ROVER STREETWISE,78_7,0,0,0,0,0
607,SAAB,SAAB 9-3,81_1,0,0,0,0,0
608,SAAB,SAAB 9-5,81_3,0,0,0,0,1
609,SANTANA,SANTANA PS10,82_1,0,0,0,0,0
610,SEAT,SEAT ALHAMBRA,79_1,768,2475,2294,5121,3795
611,SEAT,SEAT ALTEA,79_2,0,0,0,0,0
612,SEAT,SEAT ARONA,79_4,10508,14841,11686,575,0
613,SEAT,SEAT AROSA,79_5,0,0,0,0,0
614,SEAT,SEAT ATECA,79_6,7565,11040,8983,9446,1904
615,SEAT,SEAT CORDOBA,79_7,0,0,0,0,0
616,SEAT,SEAT EXEO,79_8,0,0,0,0,0
617,SEAT,SEAT IBIZA,79_9,8253,13255,12520,15531,18864
618,SEAT,SEAT LEON,79_10,13516,18968,20765,18362,17031
619,SEAT,SEAT MII,79_11,297,1287,1244,1446,2193
620,SEAT,SEAT TARRACO,79_13,2777,4268,0,0,0
621,SEAT,SEAT TOLEDO,79_12,0,87,1212,793,740
622,SKODA,SKODA CITIGO,80_1,278,4546,5125,6091,7762
623,SKODA,SKODA FABIA,80_2,9326,14679,16476,17421,19681
624,SKODA,SKODA FELICIA,80_11,0,0,0,0,0
625,SKODA,SKODA KAROQ,80_3,12213,14566,13625,83,0
626,SKODA,SKODA KODIAQ,80_4,7310,8778,7547,6052,0
627,SKODA,SKODA OCTAVIA,80_5,11363,19631,16501,18337,21156
628,SKODA,SKODA RAPID,80_6,0,501,2154,4010,4422
629,SKODA,SKODA ROOMSTER,80_8,0,0,0,0,3
630,SKODA,SKODA SCALA,80_12,3050,1420,0,0,0
631,SKODA,SKODA SUPERB,80_9,4779,6775,7577,9087,8818
632,SKODA,SKODA YETI,80_10,0,0,49,10875,13146
633,SMART,SMART CITY,84_2,0,0,0,0,0
634,SMART,SMART FORFOUR,84_1,703,1926,3825,4613,5060
635,SMART,SMART FORTWO,84_2,598,1878,3339,4574,5499
636,SMART,SMART ROADSTER,84_3,0,0,0,0,0
637,SSANGYONG,SSANGYONG KORANDO,85_1,724,697,733,886,1048
638,SSANGYONG,SSANGYONG KYRON,85_3,0,0,0,0,0
639,SSANGYONG,SSANGYONG MUSSO,85_4,0,0,0,0,0
640,SSANGYONG,SSANGYONG REXTON,85_5,202,310,326,412,350
641,SSANGYONG,SSANGYONG RODIUS,85_6,4,57,493,597,625
642,SSANGYONG,SSANGYONG TIVOLI,85_7,496,725,1064,1360,2108
643,SUBARU,SUBARU BRZ,86_1,24,76,84,144,123
644,SUBARU,SUBARU FORESTER,86_2,206,1008,884,842,1192
645,SUBARU,SUBARU IMPREZA,86_3,11,108,159,78,149
646,SUBARU,SUBARU JUSTY,86_4,0,0,0,0,0
647,SUBARU,SUBARU LEGACY,86_5,1,0,0,1,0
648,SUBARU,SUBARU LEVORG,86_6,64,74,14,106,187
649,SUBARU,SUBARU OUTBACK,86_7,240,571,645,458,757
650,SUBARU,SUBARU WRX,86_10,0,5,105,304,335
651,SUBARU,SUBARU XV,86_11,318,918,1093,597,739
652,SUZUKI,SUZUKI ALTO,87_1,0,0,0,0,0
653,SUZUKI,SUZUKI BALENO,87_2,0,1046,1417,2180,1929
654,SUZUKI,SUZUKI CELERIO,87_3,0,2129,4069,6345,7963
655,SUZUKI,SUZUKI GRAND VITARA,87_4,0,0,0,0,0
656,SUZUKI,SUZUKI IGNIS,87_5,3924,3579,5654,5765,253
657,SUZUKI,SUZUKI JIMNY,87_6,862,1169,477,934,1036
658,SUZUKI,SUZUKI KIZASHI,87_7,0,0,0,0,0
659,SUZUKI,SUZUKI LIANA,87_8,0,0,0,0,0
660,SUZUKI,SUZUKI SPLASH,87_9,0,0,0,0,0
661,SUZUKI,SUZUKI SWIFT,87_10,7975,10931,10021,7932,10623
662,SUZUKI,SUZUKI SX4,87_11,877,2027,2740,3045,3487
663,SUZUKI,SUZUKI VITARA,87_13,5141,12497,11938,10936,11040
664,SUZUKI,SUZUKI WAGON R+,87_14,0,0,0,0,0
665,TATA,TATA SAFARI,89_1,0,0,0,0,0
666,TESLA,TESLA MODEL 3,90_3,22120,10317,1,0,0
667,TESLA,TESLA MODEL S,90_1,889,1186,1762,2362,2195
668,TESLA,TESLA MODEL X,90_2,1502,1209,1375,1939,40
669,TOYOTA,TOYOTA 4-RUNNER,92_1,0,2,2,59,7
670,TOYOTA,TOYOTA AURIS,92_3,0,1121,12484,12936,14999
671,TOYOTA,TOYOTA AVENSIS,92_4,0,1,1378,2795,4088
672,TOYOTA,TOYOTA AYGO,92_6,16537,21768,21371,20584,22027
673,TOYOTA,TOYOTA CAMRY,92_9,398,385,0,0,1
674,TOYOTA,TOYOTA CELICA,92_10,0,0,0,0,0
675,TOYOTA,TOYOTA C-HR,92_8,16351,17346,18052,13014,482
676,TOYOTA,TOYOTA COROLLA,92_11,17817,14079,4,56,9
677,TOYOTA,TOYOTA ESTIMA,92_14,0,0,0,1,1
678,TOYOTA,TOYOTA GRANVIA,92_16,0,0,0,0,0
679,TOYOTA,TOYOTA GT86,92_17,250,316,449,615,644
680,TOYOTA,TOYOTA HIACE,92_18,0,0,0,1,0
681,TOYOTA,TOYOTA HILUX,92_19,0,1,0,0,0
682,TOYOTA,TOYOTA IQ,92_20,0,0,0,0,0
683,TOYOTA,TOYOTA LANDCRUISER,92_21,341,620,648,504,665
684,TOYOTA,TOYOTA MR2,92_25,0,0,0,0,0
685,TOYOTA,TOYOTA PICNIC,92_27,0,0,0,0,0
686,TOYOTA,TOYOTA PREVIA,92_29,0,0,0,27,0
687,TOYOTA,TOYOTA PRIUS,92_30,1650,3059,4648,4949,5731
688,TOYOTA,TOYOTA PRIUS+,92_31,2723,3573,937,867,1135
689,TOYOTA,TOYOTA PROACE,92_32,431,516,1,0,0
690,TOYOTA,TOYOTA RAV4,92_34,12450,9458,7278,7696,7930
691,TOYOTA,TOYOTA SOARER,92_35,0,0,0,0,0
692,TOYOTA,TOYOTA STARLET,92_36,0,0,0,38,1
693,TOYOTA,TOYOTA SUPRA,92_37,259,102,0,5,0
694,TOYOTA,TOYOTA URBAN CRUISER,92_39,0,0,0,0,0
695,TOYOTA,TOYOTA VERSO,92_40,0,0,827,2141,3512
696,TOYOTA,TOYOTA YARIS,92_44,20813,27557,27188,25666,28590
697,TVR,TVR CERBERA,88_1,0,0,0,0,0
698,TVR,TVR SAGARIS,88_2,0,0,0,0,0
699,TVR,TVR T350,88_3,0,0,0,0,0
700,TVR,TVR TUSCAN,88_4,0,0,0,0,0
701,VAUXHALL,VAUXHALL ADAM,94_1,0,4716,5240,7160,9170
702,VAUXHALL,VAUXHALL AGILA,94_2,0,0,0,0,3
703,VAUXHALL,VAUXHALL AMPERA,94_3,0,0,0,0,2
704,VAUXHALL,VAUXHALL ANTARA,94_4,0,0,0,11,842
705,VAUXHALL,VAUXHALL ASTRA,94_5,6020,20595,28741,45275,57009
706,VAUXHALL,VAUXHALL CASCADA,94_7,0,0,49,208,499
707,VAUXHALL,VAUXHALL COMBO,94_8,3196,3412,359,17,0
708,VAUXHALL,VAUXHALL CORSA,94_9,45080,50763,50042,50049,73362
709,VAUXHALL,VAUXHALL CROSSLAND,94_10,18139,15112,12519,2425,0
710,VAUXHALL,VAUXHALL FRONTERA,94_11,0,0,0,0,0
711,VAUXHALL,VAUXHALL GRANDLAND,94_12,18195,21625,15903,49,0
712,VAUXHALL,VAUXHALL INSIGNIA,94_13,1325,7408,12737,15459,23111
713,VAUXHALL,VAUXHALL MERIVA,94_14,0,0,26,4340,6500
714,VAUXHALL,VAUXHALL MOKKA,94_15,0,21463,30468,34620,40031
715,VAUXHALL,VAUXHALL MONARO,94_17,0,0,0,0,0
716,VAUXHALL,VAUXHALL MOVANO,94_18,58,48,68,66,47
717,VAUXHALL,VAUXHALL OMEGA,94_19,0,0,0,0,0
718,VAUXHALL,VAUXHALL SIGNUM,94_20,0,0,0,0,0
719,VAUXHALL,VAUXHALL TIGRA,94_21,0,0,0,0,0
720,VAUXHALL,VAUXHALL VECTRA,94_22,0,0,0,0,1
721,VAUXHALL,VAUXHALL VIVA,94_23,0,4091,5377,9510,13720
722,VAUXHALL,VAUXHALL VIVARO,94_24,216,387,790,1055,1452
723,VAUXHALL,VAUXHALL VX220,94_25,0,0,0,0,0
724,VAUXHALL,VAUXHALL VXR8,94_26,0,0,8,7,8
725,VAUXHALL,VAUXHALL ZAFIRA,94_27,0,6,4721,10416,11645
726,VOLKSWAGEN,VOLKSWAGEN ARTEON,95_2,1521,2510,2181,534,0
727,VOLKSWAGEN,VOLKSWAGEN BEETLE,95_3,0,0,905,1483,2273
728,VOLKSWAGEN,VOLKSWAGEN BORA,95_4,0,0,0,0,0
729,VOLKSWAGEN,VOLKSWAGEN CADDY,95_5,266,1162,2525,2780,2130
730,VOLKSWAGEN,VOLKSWAGEN CADDYMAXI,95_7,1532,1440,3,0,0
731,VOLKSWAGEN,VOLKSWAGEN CALIFORNIA,95_9,188,1201,0,1,0
732,VOLKSWAGEN,VOLKSWAGEN CARAVELLE,95_11,615,736,60,91,41
733,VOLKSWAGEN,VOLKSWAGEN CC,95_12,0,0,1,256,1968
734,VOLKSWAGEN,VOLKSWAGEN EOS,95_13,0,0,0,0,37
735,VOLKSWAGEN,VOLKSWAGEN FOX,95_14,0,0,0,0,0
736,VOLKSWAGEN,VOLKSWAGEN GOLF,95_15,41724,57451,63029,70652,66862
737,VOLKSWAGEN,VOLKSWAGEN HIGH UP,95_33,0,507,1119,1732,183
738,VOLKSWAGEN,VOLKSWAGEN JETTA,95_18,4,9,31,395,1143
739,VOLKSWAGEN,VOLKSWAGEN LOOK UP,95_33,0,0,0,4,1219
740,VOLKSWAGEN,VOLKSWAGEN LUPO,95_19,0,0,0,0,0
741,VOLKSWAGEN,VOLKSWAGEN PASSAT,95_20,5940,7269,11706,14577,16057
742,VOLKSWAGEN,VOLKSWAGEN PHAETON,95_21,0,0,0,0,0
743,VOLKSWAGEN,VOLKSWAGEN POLO,95_22,26210,36314,43389,44732,51815
744,VOLKSWAGEN,VOLKSWAGEN SCIROCCO,95_23,0,0,601,4403,5244
745,VOLKSWAGEN,VOLKSWAGEN SHARAN,95_24,1430,4416,2763,2886,2819
746,VOLKSWAGEN,VOLKSWAGEN T-CROSS,95_37,7521,6758,0,0,0
747,VOLKSWAGEN,VOLKSWAGEN TIGUAN,95_26,24794,37182,30636,26625,19237
748,VOLKSWAGEN,VOLKSWAGEN TOUAREG,95_28,2224,3301,1614,3288,4083
749,VOLKSWAGEN,VOLKSWAGEN TOURAN,95_29,2138,2629,3549,3947,3528
750,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,95_30,1020,2219,1642,1253,1226
751,VOLKSWAGEN,VOLKSWAGEN T-ROC,95_25,16839,21258,15803,16,0
752,VOLKSWAGEN,VOLKSWAGEN UP,95_33,3302,6939,10060,8701,10441
753,VOLKSWAGEN,VOLKSWAGEN UP BY,95_33,203,820,1133,2198,850
754,VOLKSWAGEN,VOLKSWAGEN URBAN,95_14,0,0,0,0,0
755,VOLKSWAGEN,VOLKSWAGEN XL1,95_35,0,0,0,0,0
756,VOLVO,VOLVO C 30,96_1,0,0,0,0,0
757,VOLVO,VOLVO C30,96_1,0,0,0,0,0
758,VOLVO,VOLVO C70,96_2,0,0,0,0,0
759,VOLVO,VOLVO S40,96_3,0,0,0,0,0
760,VOLVO,VOLVO S60,96_4,1078,1098,888,1109,1190
761,VOLVO,VOLVO S70,96_19,0,0,0,0,0
762,VOLVO,VOLVO S80,96_5,0,0,0,0,176
763,VOLVO,VOLVO S90,96_6,1025,2050,2389,1368,283
764,VOLVO,VOLVO V40,96_7,0,8110,12787,13181,15226
765,VOLVO,VOLVO V50,96_9,0,0,1,0,0
766,VOLVO,VOLVO V60,96_10,2928,4648,3798,3158,3795
767,VOLVO,VOLVO V70,96_12,0,0,1,15,747
768,VOLVO,VOLVO V90,96_14,2353,4296,3864,2859,429
769,VOLVO,VOLVO XC40,96_20,24281,14894,6616,8,0
770,VOLVO,VOLVO XC60,96_16,7694,11182,10840,14994,14808
771,VOLVO,VOLVO XC70,96_17,0,0,0,17,1006
772,VOLVO,VOLVO XC90,96_18,4969,7495,6475,5564,5254
773,ZENOS,ZENOS E10,99_1,0,0,0,2,10
