Number,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016
53,AUDI,AUDI Q5,7_20,8364,12148,11504,9167,9620
54,AUDI,AUDI Q7,7_21,3927,4606,4092,4309,4827
55,AUDI,AUDI Q8,7_49,933,1813,634,0,0
56,AUDI,AUDI QUATTRO,7_22,0,0,1,0,0
57,AUDI,AUDI R8,7_23,121,131,254,298,331
58,AUDI,AUDI RIO,7_35,0,0,1,0,0
59,AUDI,AUDI RS3,7_25,312,837,1145,782,1107
60,AUDI,AUDI RS4,7_26,491,249,550,3,0
61,AUDI,AUDI RS5,7_30,162,407,37,0,2
62,AUDI,AUDI RS6,7_31,663,0,200,633,649
63,AUDI,AUDI RS7,7_33,127,0,9,84,125
64,AUDI,AUDI RSQ3,7_24,697,37,0,0,229
65,AUDI,AUDI S1,7_34,0,1,307,637,586
66,AUDI,AUDI S3,7_35,1404,2705,3017,4917,4144
67,AUDI,AUDI S4,7_36,676,227,1334,2016,101
68,AUDI,AUDI S5,7_39,257,85,2283,3350,764
69,AUDI,AUDI S6,7_41,84,117,151,165,117
70,AUDI,AUDI S7,7_42,66,70,7,54,68
71,AUDI,AUDI S8,7_43,23,0,0,62,210
72,AUDI,AUDI SQ2,7_50,366,881,0,0,0
73,AUDI,AUDI SQ5,7_44,1198,464,2046,1237,2046
74,AUDI,AUDI SQ7,7_45,568,170,871,1016,177
75,AUDI,AUDI TT,7_46,178,331,1875,2856,1837
76,AUDI,AUDI TTRS,7_47,145,216,334,110,151
77,AUDI,AUDI TTS,7_48,2716,4003,1836,3992,6977
78,BENTLEY,BENTLEY ARNAGE,10_1,0,0,0,0,0
79,BENTLEY,BENTLEY AZURE,10_2,0,0,0,0,0
80,BENTLEY,BENTLEY BENTAYGA,10_3,436,387,526,545,342
81,BENTLEY,BENTLEY BROOKLANDS,10_4,0,0,0,0,0
82,BENTLEY,BENTLEY CONTINENTAL,10_5,699,835,600,619,808
83,BENTLEY,BENTLEY FLYING SPUR,10_6,26,1,56,85,126
84,BENTLEY,BENTLEY MULSANNE,10_7,29,52,38,72,110
